breed	type	body_type	coat_type	coat_pattern
Abyssinian	Natural	Semi-foreign	Short	Ticked tabby
Aegean	Natural	Moderate	Semi-long	Multi-color
American Bobtail	Mutation	Cobby	Semi-long	All
American Curl	Mutation	Semi-foreign	Semi-long	All
American Ringtail	Mutation	Foreign	Semi-long	All
American Shorthair	Natural	Cobby	Short	All
American Wirehair	Mutation	Normal	Rex	All
Aphrodite Giant	Natural	Lean and muscular	All	All
Arabian Mau	Natural	Moderate and muscular	Short	All
Asian	Natural	Moderate	Short	Evenly solid
Asian Semi-longhair	Crossbreed between the Burmese and long-haired cats	Cobby	Semi-long	Evenly solid
Australian Mist	Crossbreed between the Abyssinian and Burmese	Moderate	Short	Spotted or marbled
Balinese	Mutation of the Siamese	Semi-foreign	Long	Colorpoint
Bambino	Crossbreed between the Munchkin and Sphynx	Dwarf	Rex	
Birman	The original Birman was crossed with the Siamese and the Persian to create the Birman of today.	Cobby	Semi-long	Mitted colorpoint
Bombay	Crossbreed between the Black American Shorthair and Sable Burmese	Cobby	Short	Solid black
Brazilian Shorthair	Natural	Normal	Short	All
British Longhair	Natural	Cobby	Semi-long	All
British Shorthair	Natural	Cobby	Short	All
Burmese	Natural	Semi-foreign or semi-cobby	Short	Solid or Tortoiseshell
Burmilla	Crossbreed between the Brown Tortie Burmese and the Chinchilla Persian	Semi-cobby	Short	Solid with Shaded Silver and Silver Tipped patterns
California Spangled	"Crossbreed between the Abyssinian, American Shorthair and British Shorthair"	Moderate	Short	Spotted tabby
Chantilly-Tiffany	Natural	Cobby	Long	"Solid, classic tabby, spotted tabby and ticked tabby"
Chartreux	Natural	Muscular; cobby	Short	Comes in varying shades of blue
Colorpoint Shorthair	"Crossbreed between the Abyssinian, Siamese and short-haired cats"	Foreign	Short	Colorpoint
Cornish Rex	Mutation	Foreign	Rex	All
"Cymric, Manx Longhair or Long-haired Manx"	Mutation of the Manx	Semi-cobby	Long	All
Cyprus	Natural	Lean and muscular	All	All
Devon Rex	Mutation	Semi-foreign	Rex	All
Donskoy orDon Sphynx	Mutation	Semi-foreign	Hairless	Solid
Dragon Li orChinese Li Hua	Natural	Normal	Short	Ticked tabby
Dwelf	"Crossbreed between the American Curl, Munchkin and Sphynx"	Dwarf	Hairless	All
Egyptian Mau	Natural	Moderate and muscular	Short	Spotted tabby
European Shorthair	Natural	Moderate	Short	All
Exotic Shorthair	Crossbreed between the American Shorthair and Persian	Cobby	Short	All
Foldex	Crossbreed between the Exotic Shorthair and Scottish Fold	Cobby	Short	All
