,Unnamed: 0,Restaurant Name,Number of Stars,City,Country,Price,Cuisine_type_1,Cuisine_type_1.1
0,0,essência,1,Budapest, Hungary,$$$,, Modern Cuisine
1,1,Babel,1,Budapest, Hungary,$$$$,Modern Cuisine,
2,2,Borkonyha Winekitchen,1,Budapest, Hungary,$$,Modern Cuisine,
3,3,Costes,1,Budapest, Hungary,$$$$,Modern Cuisine,
4,4,Stand,2,Budapest, Hungary,$$$$,, Modern Cuisine
5,5,Platán Gourmet,2,Tata, Hungary,$$$$,, Creative
6,6,Salt,1,Budapest, Hungary,$$$$,Modern Cuisine,
7,7,Rumour,1,Budapest, Hungary,$$$$,Creative,
8,8,42,1,Esztergom, Hungary,$$$$,Modern Cuisine,
9,9,Kissa Tanto,1,Vancouver, Canada,$$$$,, Fusion
10,10,Published on Main,1,Vancouver, Canada,$$$,, Contemporary
11,11,Barbara,1,Vancouver, Canada,$$$$,, Contemporary
12,12,Masayoshi,1,Vancouver, Canada,$$$$,, Japanese
13,13,iDen & QuanJuDe Beijing Duck House,1,Vancouver, Canada,$$$$,, Chinese
14,14,Burdock & Co,1,Vancouver, Canada,$$$$,, Contemporary
15,15,St. Lawrence,1,Vancouver, Canada,$$$,, French
16,16,AnnaLena,1,Vancouver, Canada,$$$$,, Contemporary
17,17,Song Yun Ze,1,Chengdu,China,$$$$,Sichuan,
18,18,Fang Xiang Jing,1,Chengdu,China,$$$,Sichuan,
19,19,Silver Pot,1,Chengdu,China,$$$,Sichuan,
20,20,Chengdu Restaurant,1,Chengdu,China,$$$$,Cantonese,
21,21,Fu Rong Huang,1,Chengdu,China,$$,Sichuan,
22,22,Ma's Kitchen,1,Chengdu,China,$$,Sichuan,
23,23,Mi Xun Teahouse,1,Chengdu,China,$$,Vegetarian,
24,24,Chaimen Hui,1,Chengdu,China,$$$$,Sichuan,
25,25,Young Art · Yong Ya He Xian (Tongzilin East Road),1,Chengdu,China,$$$,Sichuan,
26,26,Xu's Cuisine,1,Chengdu,China,$$$,Sichuan,
27,27,Yu Zhi Lan,2,Chengdu,China,$$$$,Sichuan,
28,28,La Teinturerie,1,Delémont, Switzerland,$$$,, Creative French
29,29,Denis Martin,1,Vevey, Switzerland,$$$$,Creative,
30,30,Table de Mary,1,Cheseaux-Noréaz, Switzerland,$$$,Classic French,
31,31,the K by mauro colagreco,1,Saint Moritz, Switzerland,$$$$,French,
32,32,Memories,3,Bad Ragaz, Switzerland,$$$$,, Creative
33,33,Lucide,1,Lucerne, Switzerland,$$,, Contemporary
34,34,Ackermannshof,1,Basel, Switzerland,$$$$,, Mediterranean Cuisine
35,35,Les Montagnards - Le Sommet,1,Broc, Switzerland,$$$$,, Creative
36,36,Des Trois Tours,1,Bourguillon, Switzerland,$$$$,, Modern Cuisine
37,37,Maison Wenger,2,Le Noirmont, Switzerland,$$$$,, Modern French
38,38,Sihlhalde,1,Gattikon, Switzerland,$$$,Classic Cuisine,
39,39,Bel Etage,1,Basel, Switzerland,$$$,, Classic French
40,40,Il Lago,1,Geneva, Switzerland,$$$,, Italian
41,41,La Table d'Adrien,1,Verbier, Switzerland,$$$$,, Contemporary
42,42,Da Vittorio,2,Saint Moritz, Switzerland,$$$$,Italian,
43,43,Brasserie Uno,1,Zermatt, Switzerland,$$$,Contemporary,
44,44,L'Atelier Robuchon,1,Geneva, Switzerland,$$$$,French Contemporary,
45,45,The Japanese by The Chedi at Gütsch,1,Andermatt, Switzerland,$$$$,, Japanese Contemporary
46,46,La Table du Lausanne Palace,1,Lausanne, Switzerland,$$$$,Modern French,
47,47,Maihöfli – Oscar de Matos,1,Lucerne, Switzerland,$$$,, Creative
48,48,7132 Silver,2,Vals, Switzerland,$$$$,, Creative
49,49,La Chaumière by Serge Labrosse,1,Troinex, Switzerland,$$$,, Modern French
50,50,The Japanese Restaurant,1,Andermatt, Switzerland,$$$$,, Japanese Contemporary
51,51,Osteria TRE,1,Bubendorf, Switzerland,$$$$,, Italian
52,52,Einstein Gourmet,2,Sankt Gallen, Switzerland,$$$$,, Creative
53,53,Panorama - Cayenne,1,Steffisburg, Switzerland,$$$,Modern French,
54,54,Steinhalle,1,Berne, Switzerland,$$$,Creative,
55,55,Segreto,1,Wittenbach, Switzerland,$$$$,, Creative
56,56,Maison Manesse,1,Zurich, Switzerland,$$$$,Creative,
57,57,Traube,1,Trimbach, Switzerland,$$$$,Classic French,
58,58,Seerestaurant Belvédère,1,Hergiswil, Switzerland,$$$$,, Modern Cuisine
59,59,La Brezza,2,Arosa, Switzerland,$$$,, Modern Cuisine
60,60,META,1,Lugano, Switzerland,$$$,, Mediterranean Cuisine
61,61,LA CHAVALLERA in der Krone - Säumerei am Inn,1,La Punt-Chamues-ch, Switzerland,$$$$,, Modern Cuisine
62,62,Epoca by Tristan Brandt,1,Flims, Switzerland,$$$$,, Modern Cuisine
63,63,Widder Restaurant,2,Zurich, Switzerland,$$$$,, Modern French
64,64,IGNIV Zürich by Andreas Caminada,2,Zurich, Switzerland,$$$$,, Sharing
65,65,The Restaurant,2,Zurich, Switzerland,$$$$,, Creative
66,66,tobias buholzer,1,Rüschlikon, Switzerland,$$$$,, Vegetarian
67,67,Rössli - Jägerstübli,1,Escholzmatt, Switzerland,$$$$,Creative,
68,68,Löwen - Apriori,1,Bubikon, Switzerland,$$$$,, Mediterranean Cuisine
69,69,Tsé Fung,1,Geneva, Switzerland,$$$,Chinese,
70,70,La Riva,1,Lenzerheide, Switzerland,$$$,, Modern French
71,71,Aux Trois Amis,1,Ligerz, Switzerland,$$,Country cooking,
72,72,Le Berceau des Sens,1,Lausanne, Switzerland,$$$,, Modern French
73,73,Jägerhof,1,Sankt Gallen, Switzerland,$$$$,, Modern Cuisine
74,74,Vivanda,1,Brail, Switzerland,$$$$,, Creative
75,75,Le Café Suisse,1,Bex, Switzerland,$$$$,Modern Cuisine,
76,76,Capri,1,Zermatt, Switzerland,$$$$,Italian,
77,77,Alpine Gourmet Prato Borni,1,Zermatt, Switzerland,$$$$,, Creative
78,78,THE VIEW,1,Lugano, Switzerland,$$$$,, Italian Contemporary
79,79,Restaurant de l'Hôtel de Ville,3,Crissier, Switzerland,$$$$,Classic French,
80,80,roots,2,Basel, Switzerland,$$$$,Modern Cuisine,
81,81,Tosca,1,Geneva, Switzerland,$$,Tuscan,
82,82,Anne-Sophie Pic,2,Lausanne, Switzerland,$$$$,Creative,
83,83,OZ,1,Fürstenau, Switzerland,$$$$,Vegetarian,
84,84,Ecco St. Moritz,2,Saint Moritz, Switzerland,$$$$,Creative,
85,85,L'Atelier Gourmand,1,Sierre, Switzerland,$$$,French Contemporary,
86,86,Bad Balgach by Schützelhofer,1,Balgach, Switzerland,$$,Classic Cuisine,
87,87,Neue Taverne,1,Zurich, Switzerland,$$$,, Vegetarian
88,88,Talvo by Dalsass,1,Saint Moritz, Switzerland,$$$$,Mediterranean Cuisine,
89,89,Magdalena,2,Schwyz, Switzerland,$$$$,, Modern Cuisine
90,90,KLE,1,Zurich, Switzerland,$$$,, Vegan
91,91,Truube,1,Gais, Switzerland,$$$,, Mediterranean Cuisine
92,92,Le Murenberg,1,Bubendorf, Switzerland,$$$,, Classic Cuisine
93,93,IGNIV by Andreas Caminada,2,Saint Moritz, Switzerland,$$$$,Creative,
94,94,UniQuisine Atelier,1,Stansstad, Switzerland,$$$$,, Modern Cuisine
95,95,Sonne,1,Wengi bei Büren, Switzerland,$$$,, French
96,96,Regina Montium,1,Rigi Kaltbad, Switzerland,$$$$,, Creative
97,97,Löwen,1,Menzingen, Switzerland,$$$$,Classic Cuisine,
98,98,Locanda Orico,1,Bellinzona, Switzerland,$$$$,Mediterranean Cuisine,
99,99,Pavillon,2,Zurich, Switzerland,$$$$,Classic French,
100,100,Auberge de la Croix Blanche,1,Villarepos, Switzerland,$$$,Modern Cuisine,
101,101,GÜTSCH by Markus Neff,1,Andermatt, Switzerland,$$$,, Classic French
102,102,Fahr,1,Künten-Sulz, Switzerland,$$$$,, Regional Cuisine
103,103,Sushi Shin,1,Zurich, Switzerland,$$$$,Japanese Contemporary,
104,104,After Seven,1,Zermatt, Switzerland,$$$$,Creative,
105,105,Le Flacon,1,Carouge, Switzerland,$$$,Modern Cuisine,
106,106,Les Ateliers,1,Vevey, Switzerland,$$$$,, Classic French
107,107,Verve by Sven,1,Bad Ragaz, Switzerland,$$$,, Modern Cuisine
108,108,Le Pérolles,1,Fribourg, Switzerland,$$$$,, Classic French
109,109,La Miranda Gourmet Stübli,1,Samnaun, Switzerland,$$$$,Modern Cuisine,
110,110,Principe Leopoldo,1,Lugano, Switzerland,$$$,, Mediterranean Cuisine
111,111,Zum Äusseren Stand,1,Berne, Switzerland,$$$,, Contemporary
112,112,Torkel,1,Vaduz, Switzerland,$$$,, Modern Cuisine
113,113,Ornellaia,1,Zurich, Switzerland,$$$$,Italian,
114,114,Schlüssel - Nidbergstube,1,Mels, Switzerland,$$$$,, Classic Cuisine
115,115,Gasthaus Zur Fernsicht - Incantare,2,Heiden, Switzerland,$$$$,, Classic Cuisine
116,116,Le Cigalon,1,Thônex, Switzerland,$$$,, Seafood
117,117,LeMontBlanc,1,Crans-Montana, Switzerland,$$$,Modern French,
118,118,Schloss Schauenstein,3,Fürstenau, Switzerland,$$$$,, Creative
119,119,Wirtshaus Zur Säge,1,Flüh, Switzerland,$$$$,, Classic French
120,120,Alpenblick,1,Wilderswil, Switzerland,$$$$,, Creative
121,121,Attisholz,1,Riedholz, Switzerland,$$$$,, French
122,122,Wein & Sein mit Härzbluet,1,Berne, Switzerland,$$$$,, Modern Cuisine
123,123,Sommet,1,Gstaad, Switzerland,$$$$,Modern Cuisine,
124,124,I Due Sud,1,Lugano, Switzerland,$$$,Mediterranean Cuisine,
125,125,L'OURS,1,Crans-Montana, Switzerland,$$$$,Modern Cuisine,
126,126,Zur Gedult,1,Burgdorf, Switzerland,$$$,International,
127,127,IGNIV by Andreas Caminada,2,Bad Ragaz, Switzerland,$$$$,Creative,
128,128,PRISMA,1,Vitznau, Switzerland,$$$$,Modern Cuisine,
129,129,RICO'S,2,Küsnacht, Switzerland,$$$$,, Modern Cuisine
130,130,Domaine de Châteauvieux,2,Satigny, Switzerland,$$$$,, Modern French
131,131,La Table du Valrose,1,Rougemont, Switzerland,$$$$,, Modern French
132,132,Stéphane Décotterd,1,Montreux, Switzerland,$$$$,French Contemporary,
133,133,Alpenblick - Stuba,1,Adelboden, Switzerland,$$$,, Modern Cuisine
134,134,Du Cerf,1,Sonceboz, Switzerland,$$$$,, Classic French
135,135,Neue Blumenau,1,Lömmenschwil, Switzerland,$$$,, Country cooking
136,136,Gasthaus zum Kreuz,1,Dallenwil, Switzerland,$$$,, Classic Cuisine
137,137,dasRestaurant,1,Thun, Switzerland,$$$$,, Modern Cuisine
138,138,Taverne zum Schäfli,2,Wigoltingen, Switzerland,$$$$,, Classic French
139,139,L'Etoile - Nova,1,Charmey, Switzerland,$$$$,Modern French,
140,140,Bayview by Michel Roth,1,Geneva, Switzerland,$$$$,, Modern French
141,141,Chesa Stüva Colani,1,Madulain, Switzerland,$$$,, Innovative
142,142,Schlüssel,1,Oberwil, Switzerland,$$$,, Mediterranean Cuisine
143,143,Stucki - Tanja Grandits,2,Basel, Switzerland,$$$$,, Creative
144,144,Cheval Blanc by Peter Knogl,3,Basel, Switzerland,$$$$,Classic French,
145,145,Ecco,2,Ascona, Switzerland,$$$$,Creative,
146,146,La Rôtisserie,1,Zurich, Switzerland,$$$,, Modern Cuisine
147,147,Skin's - the restaurant,2,Lenzburg, Switzerland,$$$$,Modern Cuisine,
148,148,Aqua,1,Thalwil, Switzerland,$$$$,Modern Cuisine,
149,149,Eden Kitchen & Bar,1,Zurich, Switzerland,$$$$,, Italian
150,150,L'Aparté,1,Geneva, Switzerland,$$$,, Modern French
151,151,Sens,2,Vitznau, Switzerland,$$$$,, Modern Cuisine
152,152,focus ATELIER,2,Vitznau, Switzerland,$$$$,, Creative
153,153,Locanda Barbarossa,1,Ascona, Switzerland,$$$,Mediterranean Cuisine,
154,154,Du Bourg,1,Biel, Switzerland,$$$,, Modern Cuisine
155,155,Njørden,1,Aubonne, Switzerland,$$$,, Modern Cuisine
156,156,Le Chat-Botté,1,Geneva, Switzerland,$$$,, Modern French
157,157,EquiTable,1,Zurich, Switzerland,$$$$,Modern Cuisine,
158,158,Wirtschaft im FRANZ,1,Zurich, Switzerland,$$$,, Modern Cuisine
159,159,La Micheline,1,Geneva, Switzerland,$$$,Mediterranean Cuisine,
160,160,Le Pont de Brent,1,Brent, Switzerland,$$$$,Modern French,
161,161,Damien Germanier,1,Sion, Switzerland,$$$$,Creative,
162,162,Gasthaus Zum Gupf,1,Rehetobel, Switzerland,$$$,, Classic French
163,163,Sternen - Badstube,1,Wangen bei Dübendorf, Switzerland,$$$,Classic Cuisine,
164,164,La Brezza,2,Ascona, Switzerland,$$$$,Mediterranean Cuisine,
165,165,Krone,1,Saint Moritz, Switzerland,$$$$,, Italian
166,166,Eatanic Garden,1,Seoul, South Korea,$$$$,Innovative,
167,167,Ilpan,1,Seoul, South Korea,$$$$,Teppanyaki,
168,168,KANG MINCHUL Restaurant,1,Seoul, South Korea,$$$$,, French
169,169,Kojacha,1,Seoul, South Korea,$$$$,Asian,
170,170,Soul,1,Seoul, South Korea,$$$,Contemporary,
171,171,L'Amant Secret,1,Seoul, South Korea,$$$$,Contemporary,
172,172,Exquisine,1,Seoul, South Korea,$$$,Contemporary,
173,173,Jungsik,2,Seoul, South Korea,$$$$,Contemporary,
174,174,Kwonsooksoo,2,Seoul, South Korea,$$$$,Korean,
175,175,Sushi Matsumoto,1,Seoul, South Korea,$$$$,Sushi,
176,176,Mingles,2,Seoul, South Korea,$$$$,Contemporary,
177,177,Myomi,1,Seoul, South Korea,$$$$,Contemporary,
178,178,La Yeon,2,Seoul, South Korea,$$$$,Korean,
179,179,Solbam,1,Seoul, South Korea,$$$$,, Contemporary
180,180,Onjium,1,Seoul, South Korea,$$$$,Korean,
181,181,Bicena,1,Seoul, South Korea,$$$$,Korean,
182,182,Joo Ok,2,Seoul, South Korea,$$$$,Korean,
183,183,L'Amitié,1,Seoul, South Korea,$$$,French,
184,184,7th Door,1,Seoul, South Korea,$$$$,Contemporary,
185,185,YUN,1,Seoul, South Korea,$$$,Korean,
186,186,HANE,1,Seoul, South Korea,$$$$,Sushi,
187,187,Mosu,3,Seoul, South Korea,$$$$,Innovative,
188,188,alla Prima,2,Seoul, South Korea,$$$$,Innovative,
189,189,Soseoul Hannam,1,Seoul, South Korea,$$$,Korean,
190,190,Goryori Ken,1,Seoul, South Korea,$$$$,, Contemporary
191,191,Restaurant Allen,1,Seoul, South Korea,$$$$,Contemporary,
192,192,Mitou,1,Seoul, South Korea,$$$$,Japanese,
193,193,Gaon,3,Seoul, South Korea,$$$$,Korean,
194,194,Kojima,2,Seoul, South Korea,$$$$,Sushi,
195,195,Muoki,1,Seoul, South Korea,$$$,Contemporary,
196,196,Pierre Gagnaire,1,Seoul, South Korea,$$$$,French,
197,197,Muni,1,Seoul, South Korea,$$$$,Japanese,
198,198,Zero Complex,1,Seoul, South Korea,$$$,Innovative,
